Date,Symbol,Open,High,Low,Close,Volume
12-04-2021,TCS,3322.25,3338.1,3213.2,3246.55,3791828
13-04-2021,TCS,3214,3214,3073.05,3104.05,8654596
15-04-2021,TCS,3160.3,3237.25,3087.45,3218.95,6062760
16-04-2021,TCS,3229,3247,3182.6,3195.15,3224657
19-04-2021,TCS,3169,3189,3135.1,3161.8,2679106
20-04-2021,TCS,3225,3225.35,3126.35,3144.55,3141893
22-04-2021,TCS,3148,3148,3105.25,3118.8,1988980
23-04-2021,TCS,3105,3119,3091.05,3109.5,1615309
26-04-2021,TCS,3102.05,3153,3088.05,3100.8,2490260
27-04-2021,TCS,3106,3136.1,3103,3132,1471417
28-04-2021,TCS,3149.95,3151,3112,3124.1,1639037
29-04-2021,TCS,3145.6,3157.35,3105.5,3115.25,1621395
30-04-2021,TCS,3099,3132.05,3020,3035.65,3072305
01-01-2020,ONGC,128.75,128.9,126.85,127.45,2574894
02-01-2020,ONGC,127.65,128.65,127.1,128.05,4759843
03-01-2020,ONGC,131,133.4,128.05,128.45,31381588
06-01-2020,ONGC,129.7,129.8,125.1,126.25,14611204
07-01-2020,ONGC,125.6,127.7,125.4,125.75,7193304
08-01-2020,ONGC,125,125.45,123.2,123.45,6236192
09-01-2020,ONGC,124.95,125.1,122.8,123.7,10135017
10-01-2020,ONGC,124.45,125.2,123.7,124.15,6550218
13-01-2020,ONGC,124.25,125.7,124.25,125.45,5737187
14-01-2020,ONGC,125.45,125.65,123.8,125.05,12432511
15-01-2020,ONGC,125.05,125.5,124.25,124.65,5714614
16-01-2020,ONGC,125,125.2,124.05,124.5,7322878
17-01-2020,ONGC,124.55,125.55,124,125.4,8561603
20-01-2020,ONGC,126,126.75,120,122.9,16106541
21-01-2020,ONGC,123.05,124.5,122.4,122.75,6497799
22-01-2020,ONGC,122,122,116,116.4,23639592
23-01-2020,ONGC,117.25,118.95,116.4,117.8,21105999
24-01-2020,ONGC,118,119.8,117.3,118.35,11172364
27-01-2020,ONGC,118.35,118.5,116.8,117.25,12078165
28-01-2020,ONGC,117.55,117.7,115.6,116.6,11611352
29-01-2020,ONGC,117.35,118.15,116.45,117.65,15562740
30-01-2020,ONGC,117.55,117.55,115,115.6,21142714
31-01-2020,ONGC,115.8,116,106.75,108.95,83360147
01-02-2020,ONGC,109,109.55,102.7,104.35,31282518
03-02-2020,ONGC,104.35,104.95,101.55,103.45,18445537
04-02-2020,ONGC,104.1,106.9,103.8,106.15,16896688
05-02-2020,ONGC,106.4,107.4,105.1,106.8,11348275
06-02-2020,ONGC,106.8,107.8,106.3,107.25,10750236
07-02-2020,ONGC,107.3,109.75,106.55,109.25,21415595
10-02-2020,ONGC,109.15,109.15,105.75,106.2,32081049
11-02-2020,ONGC,107.15,107.65,106.3,106.8,20946852
12-02-2020,ONGC,107,107.8,106.5,106.7,13053367
13-02-2020,ONGC,107,108.2,104.25,105.35,17702073
14-02-2020,ONGC,105.55,106.3,103,103.3,26644685
17-02-2020,ONGC,101.5,102.9,98.8,99.95,36666416
18-02-2020,ONGC,99.95,100.25,96.55,99.3,35575369
19-02-2020,ONGC,100.3,102.2,98.8,101.7,21806183
20-02-2020,ONGC,102,104.1,101.7,102.8,28378025
24-02-2020,ONGC,102.5,102.5,97.2,98.05,20167769
25-02-2020,ONGC,98.7,100.25,97.25,97.55,18255196
26-02-2020,ONGC,97.4,98.5,95.5,95.8,16192058
27-02-2020,ONGC,95.7,96.2,92.05,93.35,29616674
28-02-2020,ONGC,90.3,92.7,89.5,91.95,30416954
02-03-2020,ONGC,94,95,88.25,89.1,24442896
03-03-2020,ONGC,90.9,94,89.65,93.35,24098468
04-03-2020,ONGC,94.2,94.9,90.7,92.8,22998427
05-03-2020,ONGC,93.35,94.4,92,92.6,16357817
06-03-2020,ONGC,89.5,91.5,87.65,88.5,17823038
09-03-2020,ONGC,82.15,82.5,74,74.55,86674325
11-03-2020,ONGC,76.75,77.4,71.05,71.7,63570122
12-03-2020,ONGC,66.6,68.4,62,62.5,76138489
13-03-2020,ONGC,59.4,67,50,65.9,73052306
16-03-2020,ONGC,63.5,65.2,60,60.15,49834392
17-03-2020,ONGC,61.1,63,59.65,60,46722526
18-03-2020,ONGC,61.6,86.8,57.5,68.15,178593486
19-03-2020,ONGC,62.15,64,58.1,61.05,61261160
20-03-2020,ONGC,63.05,74.4,62.75,72.35,128784781
23-03-2020,ONGC,60.65,65.5,60,60.4,36059063
24-03-2020,ONGC,63.5,64.7,60.1,62.5,38810910
25-03-2020,ONGC,61.2,63,60,61.55,28639667
26-03-2020,ONGC,61.85,65.6,59.65,64.75,46474998
27-03-2020,ONGC,66,66,62.8,64.45,33298960
30-03-2020,ONGC,61.05,65.65,60.1,63.35,32935523
31-03-2020,ONGC,65,69.65,63.55,68.3,45892788
01-04-2020,ONGC,67,67.25,65.1,65.75,21883464
03-04-2020,ONGC,69,71,66.5,69.85,39761221
07-04-2020,ONGC,71.2,74.4,70.2,72.9,30983247
08-04-2020,ONGC,72.4,76.35,71,74.45,30556746
09-04-2020,ONGC,76,77.65,76,77.3,19210693
13-04-2020,ONGC,78.8,78.8,72.65,75.05,22316547
15-04-2020,ONGC,75.1,76.45,73.5,74.35,22311692
16-04-2020,ONGC,74,76.5,73.4,75.45,24473642
17-04-2020,ONGC,77.8,77.8,75.15,76.3,14565447
20-04-2020,ONGC,75.35,75.65,73.8,74,15699082
21-04-2020,ONGC,69.7,70.75,67.2,69.35,27607651
22-04-2020,ONGC,65.9,66.35,60.8,65.35,73847573
23-04-2020,ONGC,67.5,69.05,66.55,67.35,38208748
24-04-2020,ONGC,67.15,69.5,66.6,67.6,31588406
27-04-2020,ONGC,68,69.5,67.65,68.45,16723890
28-04-2020,ONGC,67.8,69.7,67.1,69.2,20423140
29-04-2020,ONGC,69.4,70.95,68.7,70.5,18028576
30-04-2020,ONGC,72.6,81.05,71.5,79.9,54295139
04-05-2020,ONGC,76,77.85,74.05,76.55,28642245
